Name,Code,E,N,Z,RMS_x,RMS_y,RMS_h,Solution,PDOP,Antenna name,Antenna measure type,Antenna height,Start time,End time
Base:M1,M1,396932.832,7412395.094,531.358,0,0,0,base,0,T300(NGS),Slant,1.748,2010/04/17 16:39:39,2025/06/28 10:39:39
1,estrada,396923.435,7412417.133,530.392,0.001,0.001,0.002,fixed,1.141,T300(NGS),Bottom of receiver,2,2025/06/28 11:51:01,2025/06/28 11:51:03
2,estrada,396925.914,7412417.981,530.388,0.001,0.001,0.001,fixed,1.141,T300(NGS),Bottom of receiver,2,2025/06/28 11:51:16,2025/06/28 11:51:18
3,cerca,396922.195,7412413.923,530.364,0.002,0.002,0.003,fixed,1.139,T300(NGS),Bottom of receiver,2,2025/06/28 11:51:42,2025/06/28 11:51:44
4,cerca,396925.298,7412406.914,530.022,0.002,0.002,0.003,fixed,1.138,T300(NGS),Bottom of receiver,2,2025/06/28 11:52:12,2025/06/28 11:52:14
5,estrada,396922.184,7412421.475,530.631,0.001,0.001,0.002,fixed,1.138,T300(NGS),Bottom of receiver,2,2025/06/28 11:52:25,2025/06/28 11:52:27
6,estrada,396924.947,7412422.99,530.717,0.002,0.002,0.002,fixed,1.138,T300(NGS),Bottom of receiver,2,2025/06/28 11:52:29,2025/06/28 11:52:31
7,cerca,396920.397,7412421.965,530.897,0.001,0.001,0.002,fixed,1.138,T300(NGS),Bottom of receiver,2,2025/06/28 11:52:36,2025/06/28 11:52:38
8,estrada,396921.12,7412427.013,531.037,0.001,0.001,0.002,fixed,1.137,T300(NGS),Bottom of receiver,2,2025/06/28 11:52:44,2025/06/28 11:52:46
9,estrada,396923.477,7412429.455,531.078,0.002,0.002,0.003,fixed,1.137,T300(NGS),Bottom of receiver,2,2025/06/28 11:52:49,2025/06/28 11:52:51
10,cerca,396918.414,7412430.975,531.418,0.002,0.002,0.003,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:53:01,2025/06/28 11:53:03
11,cerca,396916.06,7412438.973,531.875,0.001,0.001,0.002,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:53:13,2025/06/28 11:53:15
12,estrada,396918.981,7412440.489,531.692,0.001,0.001,0.002,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:53:22,2025/06/28 11:53:24
13,estrada,396916.952,7412439.21,531.706,0.003,0.003,0.005,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:53:26,2025/06/28 11:53:28
14,poste,396920.404,7412441.729,531.799,0.003,0.003,0.004,fixed,1.088,T300(NGS),Bottom of receiver,2,2025/06/28 11:54:08,2025/06/28 11:54:10
15,estrada,396914.381,7412444.518,532.069,0.004,0.004,0.006,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:54:18,2025/06/28 11:54:20
16,estrada,396916.527,7412446.045,532.155,0.002,0.002,0.003,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:54:22,2025/06/28 11:54:24
17,cerca,396912.996,7412443.249,532.138,0.002,0.002,0.003,fixed,1.077,T300(NGS),Bottom of receiver,2,2025/06/28 11:54:38,2025/06/28 11:54:40
18,estrada,396911.412,7412448.531,532.588,0.002,0.002,0.003,fixed,1.049,T300(NGS),Bottom of receiver,2,2025/06/28 11:54:46,2025/06/28 11:54:48
19,estrada,396913.76,7412450.068,532.732,0.002,0.002,0.003,fixed,1.049,T300(NGS),Bottom of receiver,2,2025/06/28 11:54:51,2025/06/28 11:54:53
20,cerca,396909.34,7412447.081,533.095,0.001,0.001,0.002,fixed,1.094,T300(NGS),Bottom of receiver,2,2025/06/28 11:55:11,2025/06/28 11:55:13
21,poste,396912.976,7412455.939,533.022,0.004,0.004,0.006,fixed,1.127,T300(NGS),Bottom of receiver,2,2025/06/28 11:55:31,2025/06/28 11:55:33
22,estrada,396903.261,7412458.115,532.97,0.002,0.002,0.003,fixed,1.094,T300(NGS),Bottom of receiver,2,2025/06/28 11:55:45,2025/06/28 11:55:47
23,estrada,396904.807,7412460.455,533.177,0.003,0.003,0.004,fixed,1.095,T300(NGS),Bottom of receiver,2,2025/06/28 11:55:49,2025/06/28 11:55:51
24,estrada,396897.88,7412466.133,533.374,0.002,0.002,0.003,fixed,1.095,T300(NGS),Bottom of receiver,2,2025/06/28 11:55:58,2025/06/28 11:56:00
25,estrada,396896.218,7412464.593,533.355,0.002,0.002,0.003,fixed,1.095,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:01,2025/06/28 11:56:03
26,estrada,396888.438,7412470.593,533.619,0.002,0.002,0.003,fixed,1.071,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:11,2025/06/28 11:56:13
27,estrada,396889.859,7412473.114,533.741,0.001,0.001,0.002,fixed,1.071,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:16,2025/06/28 11:56:18
28,estrada,396882.485,7412479.036,534.14,0.002,0.002,0.002,fixed,1.071,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:27,2025/06/28 11:56:29
29,estrada,396881.488,7412477.025,534.038,0.002,0.002,0.004,fixed,1.071,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:31,2025/06/28 11:56:33
30,poste,396881.982,7412474.773,534.042,0.005,0.005,0.011,fixed,1.244,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:37,2025/06/28 11:56:39
31,estrada,396876.074,7412480.648,534.206,0.002,0.002,0.004,fixed,1.159,T300(NGS),Bottom of receiver,2,2025/06/28 11:56:54,2025/06/28 11:56:56
32,estrada,396877.717,7412482.939,534.359,0.002,0.002,0.003,fixed,1.159,T300(NGS),Bottom of receiver,2,2025/06/28 11:57:00,2025/06/28 11:57:02
33,estrada,396871.395,7412487.995,534.891,0.002,0.002,0.004,fixed,1.16,T300(NGS),Bottom of receiver,2,2025/06/28 11:57:18,2025/06/28 11:57:20
34,estrada,396869.633,7412486.005,534.942,0.003,0.003,0.004,fixed,1.16,T300(NGS),Bottom of receiver,2,2025/06/28 11:57:24,2025/06/28 11:57:26
35,estrada,396865.195,7412489.992,535.128,0.002,0.002,0.003,fixed,1.161,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:01,2025/06/28 11:58:03
36,estrada,396867.014,7412491.729,535.219,0.002,0.002,0.003,fixed,1.161,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:06,2025/06/28 11:58:08
37,poste,396869.206,7412491.974,535.271,0.003,0.003,0.005,fixed,1.161,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:12,2025/06/28 11:58:14
38,estrada,396861.443,7412497.411,535.462,0.002,0.002,0.003,fixed,1.162,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:25,2025/06/28 11:58:27
39,estrada,396859.559,7412495.586,535.355,0.002,0.002,0.003,fixed,1.162,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:30,2025/06/28 11:58:32
40,estrada,396852.391,7412502.695,535.866,0.002,0.002,0.004,fixed,1.162,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:41,2025/06/28 11:58:43
41,estrada,396853.606,7412504.834,536.04,0.002,0.002,0.003,fixed,1.162,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:45,2025/06/28 11:58:47
42,estrada,396846.009,7412511.122,536.538,0.001,0.001,0.003,fixed,1.163,T300(NGS),Bottom of receiver,2,2025/06/28 11:58:58,2025/06/28 11:59:00
43,estrada,396844.79,7412509.734,536.393,0.002,0.002,0.004,fixed,1.163,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:02,2025/06/28 11:59:04
44,poste,396843.303,7412508.053,536.467,0.003,0.003,0.006,fixed,1.181,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:08,2025/06/28 11:59:10
45,estrada,396838.531,7412514.883,536.805,0.002,0.002,0.003,fixed,1.164,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:19,2025/06/28 11:59:21
46,estrada,396840.172,7412516.922,536.998,0.001,0.001,0.002,fixed,1.164,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:23,2025/06/28 11:59:25
47,estrada,396832.252,7412524.028,537.743,0.001,0.001,0.002,fixed,1.164,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:35,2025/06/28 11:59:37
48,estrada,396830.247,7412522.514,537.604,0.002,0.002,0.003,fixed,1.164,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:41,2025/06/28 11:59:43
49,estrada,396822.165,7412530.182,537.952,0.001,0.001,0.002,fixed,1.165,T300(NGS),Bottom of receiver,2,2025/06/28 11:59:53,2025/06/28 11:59:55
50,estrada,396823.467,7412532.494,538.078,0.002,0.002,0.004,fixed,1.165,T300(NGS),Bottom of receiver,2,2025/06/28 12:00:00,2025/06/28 12:00:02
51,estrada,396815.709,7412539.494,538.54,0.002,0.002,0.004,fixed,1.165,T300(NGS),Bottom of receiver,2,2025/06/28 12:00:13,2025/06/28 12:00:15
52,estrada,396813.936,7412537.416,538.443,0.002,0.002,0.003,fixed,1.165,T300(NGS),Bottom of receiver,2,2025/06/28 12:00:19,2025/06/28 12:00:21
53,poste,396810.468,7412539.261,538.977,0.003,0.003,0.006,fixed,1.213,T300(NGS),Bottom of receiver,2,2025/06/28 12:00:29,2025/06/28 12:00:31
54,poste,396806.156,7412539.913,539.125,0.005,0.005,0.013,fixed,1.241,T300(NGS),Bottom of receiver,2,2025/06/28 12:00:41,2025/06/28 12:00:43
55,estrada,396800.369,7412549.01,539.317,0.002,0.002,0.003,fixed,1.167,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:09,2025/06/28 12:01:11
56,estrada,396801.678,7412551.553,539.278,0.002,0.002,0.004,fixed,1.167,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:14,2025/06/28 12:01:16
57,estrada,396792.466,7412559.188,540.045,0.002,0.002,0.004,fixed,1.167,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:25,2025/06/28 12:01:27
58,estrada,396789.931,7412558.377,540.159,0.002,0.002,0.003,fixed,1.167,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:29,2025/06/28 12:01:31
59,estrada,396782.798,7412564.864,540.939,0.002,0.002,0.003,fixed,1.168,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:40,2025/06/28 12:01:42
60,estrada,396783.892,7412567.201,540.959,0.002,0.002,0.003,fixed,1.168,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:46,2025/06/28 12:01:48
61,estrada,396775.663,7412573.579,540.949,0.002,0.002,0.004,fixed,1.168,T300(NGS),Bottom of receiver,2,2025/06/28 12:01:56,2025/06/28 12:01:58
62,estrada,396773.419,7412572.309,541.011,0.002,0.002,0.004,fixed,1.168,T300(NGS),Bottom of receiver,2,2025/06/28 12:02:00,2025/06/28 12:02:02
63,poste,396768.339,7412572.374,541.358,0.005,0.005,0.008,fixed,1.168,T300(NGS),Bottom of receiver,2,2025/06/28 12:02:10,2025/06/28 12:02:12
64,estrada,396753.491,7412586.597,541.462,0.001,0.001,0.003,fixed,1.094,T300(NGS),Bottom of receiver,2,2025/06/28 12:03:44,2025/06/28 12:03:46
65,estrada,396754.676,7412588.674,541.547,0.002,0.002,0.004,fixed,1.095,T300(NGS),Bottom of receiver,2,2025/06/28 12:03:48,2025/06/28 12:03:50
66,poste,396756.082,7412590.698,542.519,0.002,0.002,0.004,fixed,1.143,T300(NGS),Bottom of receiver,2,2025/06/28 12:03:57,2025/06/28 12:03:59
67,estrada,396743.63,7412595.654,541.801,0.002,0.002,0.003,fixed,1.096,T300(NGS),Bottom of receiver,2,2025/06/28 12:04:19,2025/06/28 12:04:21
